small,medium,large
0.3082466067171481,0.1461084923648741,0.06026711897175119
0.22844991583224328,0.16269050308983424,0.09819824799706112
0.1529353827390878,0.1938458500771958,0.15353339662397048
0.34476345964685606,0.14104240999404283,0.058888065397695755
0.14880685677326255,0.0907205564171818,0.02226392350257811
0.1706674092929461,0.3315859625208759,0.19896159874406294
0.15419754978938727,0.3108664509472874,0.1043166875915631
0.3199493188631095,0.13481450634571956,0.18598323628975777
0.3022312652065011,0.11467307505881763,0.06681478990230971
0.8762872885563411,0.6678380156263302,0.1024562079255702
0.6746660506523767,0.4377227851546195,0.3838764007487043
0.07569849424726272,0.15718302713230514,0.04696606749621424
0.13685257080578594,0.11508109847090964,0.037543024600381614
0.17443039271893213,0.01822569558135001,0.04788963106511801
0.6024276717798784,0.41177893749045325,0.25222073745135276
0.1018801799218636,0.12399458476284053,0.2143506267493649
0.5440856693458045,0.4474746793293889,0.1862967142715206
0.7120053038761398,0.2726774331458728,0.17181121319117665
0.4617918033927708,0.19572015169069346,0.1542044939860716
0.16570133252025698,0.1945608428450214,0.10072778040193953
0.24130442650675832,0.1379023479858006,0.22852697272901423
0.6369949475374597,0.6229403843490218,0.37649507143578376
0.2340861885531922,0.10673878604029596,0.09074652563958807
0.40459613963503216,0.29741499735700927,0.20088083048449334
0.3038122536445371,0.3209981597856313,0.21777891803412786
0.31126162693726656,0.07440680942090694,0.23207423779422243
0.37553883121745457,0.150785903158976,0.0716314075043556
0.7685720851659426,0.18486324292098288,0.09616724157240242
0.07078291404286574,0.07120528880295751,0.08042595323422574
0.29447581665772304,0.1718058410951926,0.26598531005765835
0.29457473793900135,0.4471928154089255,0.19613121520160348
0.1045064980562529,0.15283961463592277,0.07196565066988114
0.11841185124376352,0.1573077877637843,0.10653768809333997
0.4172268363945477,0.13821057446511986,0.11725810910138534
0.14083713944910414,0.10560520786020788,0.135970274376632
0.10843437891162466,0.17910238337117335,0.07443087564206508
0.39927158148839226,0.23417980935209926,0.18520019177231006
0.17738094346896105,0.09651991172540875,0.10907230655720923
0.5468774777855288,0.2046219337171351,0.06977700843344792
0.24460518323394354,0.19212381737452233,0.11612692423295812
0.5245061737041397,0.7471884103706543,0.08146168415260036
0.31917010069719254,0.5616197627796282,0.36552949543329305
0.06766689053438313,0.04391602342730039,0.07066767771539162
0.1822405924403938,0.25194898097379337,0.10250650699344988
