Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
17.8500        -5907.46     -5974.95        67.48   304.2
17.9000        -5910.40     -5977.23        66.83   301.3
17.9500        -5911.76     -5976.69        64.93   292.7
18.0000        -5912.12     -5977.69        65.56   295.6
18.0500        -5910.27     -5976.94        66.66   300.5
18.1000        -5908.74     -5975.73        66.99   302.0
18.1500        -5910.72     -5977.77        67.06   302.3
18.2000        -5912.19     -5979.59        67.40   303.9
18.2500        -5913.37     -5978.61        65.23   294.1
18.3000        -5910.29     -5977.57        67.28   303.3
18.3500        -5910.57     -5975.88        65.31   294.4
18.4000        -5910.68     -5978.24        67.57   304.6
18.4500        -5914.94     -5979.39        64.45   290.6
18.5000        -5914.03     -5981.43        67.41   303.9
18.5500        -5912.53     -5980.58        68.05   306.8
18.6000        -5912.31     -5979.23        66.93   301.7
18.6500        -5911.46     -5979.42        67.96   306.4
18.7000        -5909.75     -5975.36        65.61   295.8
18.7500        -5908.51     -5976.18        67.68   305.1
18.8000        -5912.46     -5977.52        65.06   293.3
18.8500        -5912.35     -5979.07        66.72   300.8
18.9000        -5915.51     -5978.53        63.02   284.1
18.9500        -5910.85     -5979.26        68.41   308.4
19.0000        -5913.90     -5978.36        64.45   290.6
19.0500        -5911.83     -5976.56        64.73   291.8
19.1000        -5909.70     -5977.26        67.56   304.6
19.1500        -5912.84     -5978.83        66.00   297.5
19.2000        -5912.29     -5977.63        65.34   294.6
19.2500        -5913.67     -5978.59        64.92   292.7
19.3000        -5909.42     -5974.62        65.21   294.0
19.3500        -5906.86     -5976.56        69.70   314.2
19.4000        -5915.87     -5979.18        63.30   285.4
19.4500        -5912.29     -5979.30        67.01   302.1
19.5000        -5910.09     -5976.87        66.78   301.1
19.5500        -5914.20     -5980.29        66.09   298.0
19.6000        -5913.95     -5979.89        65.94   297.3
19.6500        -5909.98     -5977.48        67.50   304.3
19.7000        -5911.10     -5978.24        67.14   302.7
19.7500        -5912.95     -5978.39        65.44   295.0
19.8000        -5909.03     -5977.08        68.05   306.8
19.8500        -5909.84     -5974.36        64.52   290.9
19.9000        -5913.27     -5978.52        65.25   294.2
19.9500        -5915.06     -5980.82        65.77   296.5
20.0000        -5912.16     -5979.09        66.92   301.7
20.0500        -5910.55     -5978.40        67.84   305.9
20.1000        -5912.14     -5978.84        66.71   300.7
20.1500        -5908.89     -5978.89        70.00   315.6
20.2000        -5912.13     -5976.12        64.00   288.5
20.2500        -5907.35     -5976.89        69.54   313.5
20.3000        -5909.15     -5976.71        67.56   304.6
20.3500        -5914.17     -5979.99        65.81   296.7
20.4000        -5911.55     -5976.52        64.97   292.9
20.4500        -5908.59     -5976.30        67.71   305.3
20.5000        -5911.13     -5977.29        66.16   298.3
20.5500        -5911.86     -5978.82        66.96   301.9
20.6000        -5908.80     -5975.15        66.35   299.1
20.6500        -5908.78     -5976.37        67.59   304.7
20.7000        -5912.87     -5979.84        66.97   301.9
20.7500        -5911.73     -5977.78        66.05   297.8
20.8000        -5908.09     -5976.94        68.84   310.4
20.8500        -5911.36     -5978.01        66.65   300.5
20.9000        -5911.43     -5977.30        65.87   297.0
20.9500        -5906.54     -5975.82        69.28   312.3
21.0000        -5911.14     -5977.67        66.53   299.9
21.0500        -5912.68     -5978.69        66.01   297.6
21.1000        -5910.41     -5978.46        68.05   306.8
21.1500        -5914.33     -5980.17        65.84   296.8
21.2000        -5912.31     -5978.71        66.40   299.4
21.2500        -5912.32     -5977.67        65.34   294.6
21.3000        -5910.67     -5976.93        66.26   298.7
21.3500        -5911.50     -5978.24        66.74   300.9
21.4000        -5914.69     -5981.39        66.70   300.7
21.4500        -5916.01     -5981.32        65.31   294.4
21.5000        -5909.30     -5977.88        68.58   309.2
21.5500        -5913.19     -5978.48        65.29   294.3
21.6000        -5914.98     -5979.75        64.77   292.0
21.6500        -5909.34     -5977.41        68.07   306.9
21.7000        -5912.21     -5977.54        65.33   294.5
21.7500        -5911.76     -5977.29        65.53   295.4
21.8000        -5911.97     -5976.80        64.83   292.3
21.8500        -5909.62     -5977.91        68.29   307.9
21.9000        -5912.25     -5979.79        67.54   304.5
21.9500        -5909.57     -5977.36        67.79   305.6
22.0000        -5912.03     -5978.19        66.17   298.3
22.0500        -5914.48     -5980.05        65.57   295.6
22.1000        -5914.09     -5980.42        66.33   299.0
22.1500        -5912.98     -5980.02        67.04   302.2
22.2000        -5911.12     -5979.55        68.43   308.5
22.2500        -5915.54     -5979.89        64.35   290.1
22.3000        -5908.19     -5976.85        68.67   309.6
22.3500        -5911.15     -5977.36        66.21   298.5
22.4000        -5915.53     -5980.76        65.24   294.1
22.4500        -5914.04     -5979.72        65.68   296.1
22.5000        -5910.40     -5976.90        66.50   299.8
22.5500        -5908.76     -5977.85        69.09   311.5
22.6000        -5917.86     -5980.47        62.61   282.3
22.6500        -5908.36     -5976.40        68.03   306.7
22.7000        -5910.13     -5974.12        63.99   288.5
22.7500        -5910.25     -5975.77        65.53   295.4
22.8000        -5911.04     -5977.93        66.89   301.6
22.8500        -5912.37     -5978.49        66.12   298.1
22.9000        -5910.95     -5977.92        66.97   301.9
22.9500        -5910.62     -5976.27        65.65   296.0
23.0000        -5910.21     -5977.34        67.14   302.7
23.0500        -5912.02     -5975.97        63.95   288.3
23.1000        -5906.32     -5976.85        70.53   318.0
23.1500        -5913.92     -5979.17        65.25   294.2
23.2000        -5910.48     -5976.23        65.75   296.4
23.2500        -5905.75     -5974.91        69.16   311.8
23.3000        -5913.08     -5977.88        64.80   292.2
23.3500        -5911.31     -5978.14        66.83   301.3
23.4000        -5910.81     -5975.94        65.13   293.6
23.4500        -5909.26     -5978.03        68.77   310.0
23.5000        -5912.68     -5977.83        65.15   293.7
23.5500        -5907.64     -5975.89        68.24   307.7
23.6000        -5908.20     -5975.84        67.64   304.9
23.6500        -5912.96     -5977.99        65.03   293.2
23.7000        -5909.13     -5976.34        67.22   303.0
23.7500        -5907.17     -5974.87        67.71   305.2
23.8000        -5912.49     -5979.16        66.67   300.6
23.8500        -5911.11     -5976.82        65.70   296.2
23.9000        -5907.72     -5976.21        68.49   308.8
23.9500        -5914.22     -5978.99        64.76   292.0
24.0000        -5909.45     -5977.16        67.71   305.2
24.0500        -5908.01     -5973.18        65.17   293.8
24.1000        -5909.20     -5976.15        66.96   301.9
24.1500        -5911.16     -5977.19        66.04   297.7
24.2000        -5912.12     -5978.91        66.79   301.1
24.2500        -5910.52     -5977.76        67.24   303.2
24.3000        -5912.18     -5979.04        66.86   301.4
24.3500        -5910.18     -5977.45        67.27   303.3
24.4000        -5907.93     -5975.42        67.49   304.3
