Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
8.7000         -5929.20     -5995.41        66.21   298.5
8.7500         -5931.93     -5996.20        64.28   289.8
8.8000         -5926.02     -5993.83        67.80   305.7
8.8500         -5926.42     -5993.13        66.72   300.8
8.9000         -5928.50     -5994.60        66.10   298.0
8.9500         -5927.02     -5993.82        66.79   301.1
9.0000         -5924.03     -5992.25        68.22   307.5
9.0500         -5928.49     -5994.13        65.64   295.9
9.1000         -5930.04     -5995.24        65.20   293.9
9.1500         -5926.59     -5993.90        67.30   303.4
9.2000         -5928.48     -5994.48        66.00   297.6
9.2500         -5927.92     -5995.63        67.71   305.3
9.3000         -5925.45     -5991.08        65.63   295.9
9.3500         -5927.21     -5993.18        65.97   297.4
9.4000         -5926.26     -5992.71        66.45   299.6
9.4500         -5925.14     -5991.98        66.84   301.3
9.5000         -5925.21     -5992.24        67.03   302.2
9.5500         -5925.41     -5991.88        66.47   299.7
9.6000         -5928.71     -5993.99        65.27   294.3
9.6500         -5927.08     -5993.58        66.50   299.8
9.7000         -5924.46     -5991.16        66.70   300.7
9.7500         -5927.65     -5994.26        66.60   300.3
9.8000         -5930.52     -5996.67        66.15   298.2
9.8500         -5927.39     -5993.47        66.09   297.9
9.9000         -5924.32     -5992.54        68.22   307.6
9.9500         -5930.47     -5994.76        64.28   289.8
10.0000        -5930.48     -5996.20        65.72   296.3
10.0500        -5925.94     -5992.04        66.09   298.0
10.1000        -5922.68     -5990.66        67.98   306.5
10.1500        -5928.38     -5993.32        64.94   292.8
10.2000        -5925.62     -5992.43        66.82   301.2
10.2500        -5926.20     -5991.63        65.43   295.0
10.3000        -5926.93     -5993.76        66.83   301.3
10.3500        -5927.66     -5993.53        65.87   297.0
10.4000        -5925.94     -5992.51        66.57   300.1
10.4500        -5924.43     -5990.58        66.15   298.2
10.5000        -5929.72     -5996.71        66.99   302.0
10.5500        -5929.56     -5995.69        66.14   298.2
10.6000        -5926.48     -5993.70        67.22   303.0
10.6500        -5925.77     -5993.36        67.58   304.7
10.7000        -5932.31     -5996.41        64.10   289.0
10.7500        -5931.26     -5996.41        65.15   293.7
10.8000        -5927.91     -5994.36        66.45   299.6
10.8500        -5927.92     -5994.61        66.69   300.6
10.9000        -5929.91     -5994.98        65.07   293.3
10.9500        -5931.36     -5997.64        66.28   298.8
11.0000        -5928.96     -5996.73        67.77   305.5
11.0500        -5926.59     -5992.65        66.06   297.8
11.1000        -5927.42     -5994.57        67.15   302.8
11.1500        -5929.83     -5994.62        64.79   292.1
11.2000        -5928.75     -5994.74        66.00   297.5
11.2500        -5926.53     -5993.58        67.04   302.3
11.3000        -5930.24     -5995.37        65.13   293.6
11.3500        -5927.24     -5993.48        66.24   298.6
11.4000        -5926.03     -5994.89        68.86   310.5
11.4500        -5930.77     -5995.37        64.60   291.3
11.5000        -5929.52     -5995.54        66.02   297.6
11.5500        -5925.54     -5994.05        68.51   308.9
11.6000        -5927.52     -5992.71        65.19   293.9
11.6500        -5925.79     -5991.92        66.13   298.1
11.7000        -5927.84     -5994.29        66.45   299.6
11.7500        -5928.00     -5994.77        66.77   301.0
11.8000        -5924.31     -5992.06        67.74   305.4
11.8500        -5928.76     -5995.24        66.48   299.7
11.9000        -5931.70     -5996.63        64.94   292.8
11.9500        -5926.93     -5994.82        67.89   306.1
12.0000        -5928.31     -5993.40        65.09   293.4
12.0500        -5929.90     -5997.09        67.19   302.9
12.1000        -5929.50     -5997.29        67.78   305.6
12.1500        -5928.96     -5997.12        68.16   307.3
12.2000        -5930.50     -5996.12        65.62   295.9
12.2500        -5928.26     -5994.70        66.44   299.5
12.3000        -5925.49     -5992.17        66.69   300.7
12.3500        -5923.72     -5989.15        65.44   295.0
12.4000        -5923.56     -5991.72        68.17   307.3
12.4500        -5926.05     -5992.07        66.02   297.6
12.5000        -5927.48     -5994.51        67.04   302.2
12.5500        -5922.92     -5990.71        67.79   305.6
12.6000        -5924.45     -5991.78        67.32   303.5
12.6500        -5929.19     -5993.52        64.33   290.0
12.7000        -5924.89     -5991.76        66.87   301.5
12.7500        -5925.60     -5992.44        66.84   301.3
12.8000        -5929.20     -5994.72        65.52   295.4
12.8500        -5929.87     -5996.20        66.32   299.0
12.9000        -5926.34     -5994.96        68.63   309.4
12.9500        -5929.60     -5995.23        65.64   295.9
13.0000        -5931.45     -5995.19        63.74   287.4
13.0500        -5925.47     -5993.17        67.70   305.2
13.1000        -5928.28     -5993.86        65.58   295.7
13.1500        -5933.06     -5998.35        65.30   294.4
13.2000        -5926.81     -5995.99        69.18   311.9
13.2500        -5924.66     -5991.04        66.38   299.3
13.3000        -5927.35     -5994.24        66.89   301.5
13.3500        -5931.92     -5996.53        64.61   291.3
13.4000        -5924.69     -5991.74        67.04   302.3
13.4500        -5921.99     -5991.49        69.50   313.3
13.5000        -5932.36     -5995.91        63.55   286.5
13.5500        -5926.84     -5993.20        66.36   299.2
13.6000        -5922.08     -5992.24        70.17   316.3
13.6500        -5930.71     -5994.21        63.51   286.3
13.7000        -5925.71     -5992.42        66.72   300.8
13.7500        -5922.30     -5989.80        67.50   304.3
13.8000        -5924.62     -5993.33        68.71   309.8
13.8500        -5929.47     -5993.91        64.44   290.5
13.9000        -5925.50     -5992.86        67.36   303.7
13.9500        -5927.80     -5993.46        65.65   296.0
14.0000        -5930.53     -5994.33        63.80   287.6
14.0500        -5924.37     -5993.52        69.14   311.7
14.1000        -5926.04     -5992.36        66.33   299.0
14.1500        -5928.32     -5993.04        64.73   291.8
14.2000        -5927.69     -5992.93        65.23   294.1
14.2500        -5925.90     -5992.48        66.58   300.2
14.3000        -5928.63     -5994.71        66.08   297.9
14.3500        -5930.39     -5996.82        66.43   299.5
14.4000        -5926.75     -5995.56        68.81   310.2
14.4500        -5926.69     -5994.98        68.29   307.9
14.5000        -5924.63     -5992.35        67.72   305.3
14.5500        -5926.46     -5992.19        65.74   296.4
14.6000        -5927.40     -5994.37        66.96   301.9
14.6500        -5929.59     -5996.18        66.60   300.2
14.7000        -5930.63     -5994.74        64.11   289.0
14.7500        -5923.97     -5992.25        68.28   307.8
14.8000        -5929.42     -5995.29        65.87   296.9
14.8500        -5927.56     -5995.43        67.87   306.0
14.9000        -5927.38     -5994.99        67.60   304.8
14.9500        -5931.68     -5997.46        65.77   296.5
15.0000        -5927.65     -5996.43        68.78   310.1
15.0500        -5930.31     -5997.59        67.27   303.3
15.1000        -5930.06     -5996.25        66.18   298.4
15.1500        -5926.57     -5993.84        67.27   303.3
15.2000        -5928.15     -5992.70        64.56   291.0
15.2500        -5925.18     -5992.12        66.95   301.8
15.3000        -5924.52     -5993.40        68.88   310.5
15.3500        -5930.02     -5994.72        64.70   291.7
15.4000        -5927.59     -5995.72        68.13   307.1
15.4500        -5926.65     -5993.14        66.49   299.8
15.5000        -5928.99     -5994.66        65.67   296.1
15.5500        -5927.63     -5995.44        67.81   305.7
15.6000        -5930.42     -5996.04        65.62   295.9
15.6500        -5928.03     -5996.81        68.78   310.1
15.7000        -5930.38     -5996.66        66.29   298.8
15.7500        -5932.68     -5997.23        64.56   291.0
15.8000        -5931.09     -5998.64        67.55   304.6
15.8500        -5929.34     -5996.90        67.56   304.6
15.9000        -5927.85     -5992.94        65.09   293.4
15.9500        -5929.21     -5994.33        65.11   293.6
16.0000        -5932.75     -5998.62        65.87   297.0
16.0500        -5934.56     -5997.49        62.93   283.7
16.1000        -5927.31     -5995.19        67.88   306.0
16.1500        -5930.59     -5995.54        64.94   292.8
16.2000        -5931.91     -5996.54        64.63   291.4
16.2500        -5928.41     -5993.40        64.99   293.0
16.3000        -5927.94     -5995.30        67.36   303.7
16.3500        -5932.93     -5997.29        64.36   290.1
16.4000        -5928.79     -5994.98        66.19   298.4
16.4500        -5925.75     -5992.65        66.90   301.6
16.5000        -5929.47     -5994.97        65.51   295.3
16.5500        -5929.11     -5995.69        66.58   300.2
16.6000        -5927.97     -5995.55        67.58   304.7
16.6500        -5929.05     -5996.88        67.83   305.8
16.7000        -5932.27     -5997.81        65.55   295.5
16.7500        -5929.39     -5995.13        65.74   296.4
16.8000        -5924.03     -5990.67        66.65   300.5
16.8500        -5924.77     -5991.21        66.43   299.5
16.9000        -5926.10     -5994.27        68.17   307.3
16.9500        -5926.49     -5992.11        65.63   295.9
17.0000        -5925.44     -5994.87        69.43   313.0
17.0500        -5931.39     -5995.00        63.61   286.8
17.1000        -5929.29     -5995.96        66.67   300.6
17.1500        -5928.36     -5994.38        66.02   297.6
17.2000        -5927.36     -5994.07        66.71   300.7
17.2500        -5925.77     -5992.99        67.21   303.0
17.3000        -5927.44     -5995.26        67.82   305.8
17.3500        -5927.45     -5994.24        66.79   301.1
17.4000        -5926.17     -5992.00        65.84   296.8
17.4500        -5924.55     -5992.07        67.53   304.4
17.5000        -5928.47     -5994.77        66.31   298.9
17.5500        -5931.00     -5995.80        64.80   292.1
17.6000        -5929.71     -5996.61        66.90   301.6
17.6500        -5926.65     -5991.97        65.32   294.5
17.7000        -5924.49     -5992.57        68.08   306.9
17.7500        -5929.89     -5994.21        64.32   290.0
17.8000        -5926.51     -5993.49        66.98   302.0
