Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
7.9000      -1190575.20  -1190645.12        69.92   315.2
7.9500      -1190581.53  -1190647.56        66.03   297.7
8.0000      -1190582.86  -1190646.65        63.79   287.6
8.0500      -1190575.66  -1190644.28        68.61   309.3
8.1000      -1190577.00  -1190643.62        66.62   300.3
8.1500      -1190580.49  -1190645.86        65.37   294.7
8.2000      -1190579.28  -1190647.26        67.98   306.5
8.2500      -1190581.86  -1190645.84        63.98   288.4
8.3000      -1190579.31  -1190648.11        68.80   310.2
8.3500      -1190581.51  -1190645.87        64.36   290.1
8.4000      -1190578.24  -1190644.61        66.37   299.2
8.4500      -1190579.81  -1190646.20        66.39   299.3
8.5000      -1190582.63  -1190648.79        66.16   298.3
8.5500      -1190578.10  -1190645.72        67.62   304.9
8.6000      -1190576.56  -1190644.02        67.45   304.1
8.6500      -1190581.15  -1190647.86        66.71   300.7
8.7000      -1190582.09  -1190647.94        65.85   296.9
8.7500      -1190576.46  -1190645.35        68.90   310.6
8.8000      -1190577.99  -1190645.63        67.64   305.0
8.8500      -1190579.50  -1190645.81        66.31   299.0
8.9000      -1190581.26  -1190646.68        65.42   294.9
8.9500      -1190576.01  -1190645.02        69.01   311.1
9.0000      -1190580.25  -1190643.45        63.21   285.0
9.0500      -1190577.39  -1190644.22        66.83   301.3
9.1000      -1190580.06  -1190645.42        65.37   294.7
9.1500      -1190579.07  -1190646.51        67.44   304.1
9.2000      -1190580.76  -1190647.16        66.40   299.3
9.2500      -1190578.51  -1190647.41        68.90   310.6
9.3000      -1190577.95  -1190645.03        67.08   302.4
9.3500      -1190579.69  -1190644.42        64.73   291.8
9.4000      -1190575.48  -1190645.63        70.15   316.3
9.4500      -1190583.03  -1190648.41        65.38   294.8
9.5000      -1190581.49  -1190649.24        67.75   305.5
9.5500      -1190580.01  -1190646.68        66.67   300.6
9.6000      -1190578.34  -1190646.08        67.75   305.4
9.6500      -1190581.67  -1190647.25        65.58   295.7
9.7000      -1190579.90  -1190646.92        67.02   302.1
9.7500      -1190578.19  -1190646.34        68.15   307.2
9.8000      -1190579.29  -1190648.33        69.04   311.3
9.8500      -1190582.76  -1190646.74        63.98   288.5
9.9000      -1190575.93  -1190643.00        67.07   302.4
9.9500      -1190578.30  -1190643.64        65.34   294.6
10.0000     -1190581.29  -1190646.49        65.20   293.9
10.0500     -1190578.61  -1190646.99        68.38   308.3
10.1000     -1190578.67  -1190645.66        67.00   302.0
10.1500     -1190580.40  -1190648.85        68.45   308.6
10.2000     -1190582.86  -1190648.27        65.41   294.9
10.2500     -1190580.10  -1190648.78        68.68   309.6
10.3000     -1190582.09  -1190648.07        65.98   297.5
10.3500     -1190582.34  -1190648.44        66.10   298.0
10.4000     -1190580.59  -1190646.15        65.56   295.6
10.4500     -1190580.38  -1190647.27        66.89   301.6
10.5000     -1190583.75  -1190648.80        65.05   293.3
10.5500     -1190576.83  -1190646.55        69.71   314.3
10.6000     -1190579.83  -1190645.81        65.98   297.5
10.6500     -1190582.10  -1190647.43        65.33   294.5
10.7000     -1190578.96  -1190645.90        66.94   301.8
10.7500     -1190578.40  -1190647.20        68.80   310.2
10.8000     -1190582.52  -1190648.58        66.05   297.8
10.8500     -1190581.32  -1190648.53        67.21   303.0
10.9000     -1190577.95  -1190645.25        67.30   303.4
10.9500     -1190579.78  -1190645.02        65.24   294.1
11.0000     -1190580.23  -1190647.54        67.31   303.5
11.0500     -1190581.96  -1190648.57        66.61   300.3
11.1000     -1190581.40  -1190648.03        66.63   300.4
11.1500     -1190581.79  -1190647.24        65.45   295.1
11.2000     -1190578.15  -1190645.53        67.38   303.8
11.2500     -1190575.89  -1190644.65        68.76   310.0
11.3000     -1190580.94  -1190646.81        65.87   297.0
11.3500     -1190582.20  -1190646.47        64.27   289.8
11.4000     -1190576.38  -1190645.23        68.85   310.4
11.4500     -1190579.19  -1190646.27        67.08   302.4
11.5000     -1190580.95  -1190646.70        65.75   296.4
11.5500     -1190577.72  -1190643.15        65.44   295.0
11.6000     -1190577.80  -1190642.51        64.71   291.7
11.6500     -1190578.08  -1190644.47        66.39   299.3
11.7000     -1190577.43  -1190642.93        65.49   295.3
11.7500     -1190575.46  -1190643.70        68.24   307.6
11.8000     -1190580.33  -1190646.05        65.72   296.3
11.8500     -1190578.76  -1190646.77        68.01   306.6
11.9000     -1190577.32  -1190643.57        66.25   298.7
11.9500     -1190574.66  -1190642.84        68.18   307.4
12.0000     -1190578.25  -1190644.03        65.78   296.5
12.0500     -1190577.94  -1190643.79        65.85   296.9
12.1000     -1190579.24  -1190646.54        67.30   303.4
12.1500     -1190579.05  -1190645.08        66.02   297.7
12.2000     -1190577.89  -1190646.44        68.55   309.0
12.2500     -1190581.64  -1190646.54        64.91   292.6
12.3000     -1190577.69  -1190644.48        66.79   301.1
12.3500     -1190579.86  -1190644.28        64.43   290.5
12.4000     -1190577.82  -1190644.50        66.68   300.6
